content_id,author_id,title
348,14,Kisruh Penyeberangan Ketapang Banyuwangi - Lembar Ntb
349,17,Jalan Longsor Dan Rusak
350,17,Kebijakan Dzolim Semena-Mena Plt. Sekretaris Disperkim Kota Samarinda Terhadap Gaji Pttb Dan Ptth
351,408,Penggunaan Keuangan Desa Yang Tidak Tepat
352,2,Kurang Baiknya Pelayanan Kesehatan Di Rsud
353,303,Rtlh Di Abaikan Pemerintah Pasuruan
354,27,Pengaduan Pln
355,78,Pengaduan Pln
356,46,Pengaduan Pln
357,443,Ingin Tau Ppid
358,112,Tuntutan Warga Masyarakat Pemalang Kepada Bupati Untuk Mengembalikan Slogan Ikhlas Pada Gapura Ikonik Di Gandulan
359,28,Nama Kartu Keluarga Sejahtera Berbeda Di Ktp
360,28,Permohonan Pemasangan Penerangan Jalan
361,28,Penyalahgunaan Wewenang Dan Permohonan Untuk Pemprov Jatim
362,28,Jalan Tak Layak Di Perumahan
363,28,Informasi Kementerian/Lembaga Pemerintah Yang Dapat Menekan/Memerintah Secara Langsung Kementerian Sosial
364,28,Perihal Orang Dalam Gangguan Jiwa (ODGJ)
365,28,Pelayanan Puskesmas Imogiri 2
366,267,Gagal Panen Karena Tikus
367,820,Permohonan Data Area Internet Gratis
368,2,Sengketa Tanah Kampung Serab Kelurahan Tirtajaya Kota Depok
369,2,Merubah Data Di Kemensos
370,2,Arogansi Kepala Sekolah Sma 1 Lingga Bayu Mandailing Natal Yang Tidak Mau Mengeluarkan Data Anak Yang Sudah Tidak Bersekolah Di Sekolah Tersebut Dari Dapodik Tanpa Alasan Yang Jelas
371,26,Bantuan Bansos Hilang
372,25,Bantuan Sosial
373,25,Ketidak Jelasan Kinerja Bpn
374,25,Komplain Perumnas Parayasa
375,25,Pengaduan masyarakat melalui media sosial Twitter akun @LaudeMSyarif tanggal 13 Agustus 2022 terkait penambangan terumbu karang oleh PT. Bhineka Manca Wisata (BMW)
376,25,Tutup Manhole Saluran Air Balongsari Giii Roboh
377,25,PENGADUAN TOWER BTS DI METRO UTARA
378,2,Pengaduan Bansos
379,349,Permohonan Informasi Pencairan Honoraium Gtt Ptt
380,2,Pelayanan Skck Polda Jatim
381,266,Jembatan Penghubung Sukawangi Desa Sukamekar - Babelan
382,266,Jalan Pengasinan Raya Selalu Banjir Saat Hujan
383,266,Rsud Cilacap
384,266,Permohonan Bantuan
385,351,Laporan Pengaduan
386,17,Banjir
387,27,Lapor Nama Terdaftar Banson Padahal Tidak Menerima Bantuan
388,27,Selalu Gagal Daftar Prakerja Karna Nik Terdaftar Bansos Padahal Tidak Menerima Bantuan
389,29,Pengaduan Penginapan Kartika Candra Gilimanuk Yang Tidak Berattittude
390,25,Hukum Mendirikan Bangunan Diatas Sungai
391,25,Jalan Rusak Dan Tidak Ada Lampu Jalan Masuk Dusun Suka Menang Desa Way Layap
392,27,"Permintaan Perbaikan Jalan Desa Untuk Dilakukan Pengecoran/Pengaspalan (Di Jalan Mede Raya , Sukamekar ,Kec. Sukawangi , Kab. Bekasi , Jabar"
393,27,Masjid Raya Sheikh
394,27,Kekerasan Di Masjid
395,28,Jalan Rusak
396,28,Kepala Bpn Deli Serdang
397,346,Nomor Induk Kependudukan Di Catut Parpol Tanpa Se Pengetahuan Pemilik Nik
398,393,Lambatnya Hasil Visum Di Rsup Tanjungpinang
399,102,Jam Operasional Pasar Tumpah Melewati Ketentuan
400,2,Jalur Pejalan Kaki Pemalang
401,27,Tunjangan Sertifikasi Tidak Dibayar Operator Simbar Kabupaten Ketapang Provinsi Kalimantan Barat
402,2,Aduan Atas Seleksi Pppk Pemerintah Kab. Brebes Tahun 2022
403,76,Jalan Ps Kemis Macet Setiap Jam Pulang Pergi Kantor
404,76,Lampu Jalan Mati Di Perumahan Villa Halaban Indah
405,553,Pungli Daftar Nikah Di Kua Kecamatan Tajurhalang Bogor Jawa Barat
406,170,Jalan Berlubang
407,28,"Apresiasi Setinggi-Tingginya Untuk Dinas Pendidikan Kab. Ketapang, Provinsi Kalimantan Barat"
408,28,Program Ptsl Atau Prona Di Wilayah Lampung Selatan
409,28,Sebagian Warga Oku Kesulitan Mendapat Air Bersih
410,28,Kabel Internet
411,28,Penambahan Pompa Air
412,2,Tempat Pembuangan Sampah Ilegal Di Pinggir Jalan Meresahkan Warga
413,114,Pembakaran Sampah Mengakibatkan Polusi Udara Di Daerah Padat Penduduk.
414,114,Masyarakat Membuang Sampah Di Depan Sdn 08 Pontianak Selatan
415,114,Desakan Pembangunan Stadion Sultan Hasanuddin
416,114,Jalan Pantura Cikampek S.d. Karawang Rusak
417,27,Jalan Utama Amblas Tidak Kunjung Diperbaiki
418,14,Jalan Utama Tapi Seperti Kubangan Sawah
419,27,Banjir Kalipecabean
420,115,Usaha Bengkel Las Di Lingkungan Rumah Tinggal
421,100,Dinsos Kedai Selingkuh
422,408,Usaha Bengkel Las Di Lingkungan Tempat Tinggal
423,28,Permintaan informasi tentang pengujian lab untuk komoditi bibit kerapu tujuan Jakarta melalui grup WA
424,102,Kontak Layanan Dukcapil Kab Cirebon
425,590,Permohonan Surat Keabsahan Akta Kelahiran
426,590,Pengaduan atas dugaan pelanggaran kegiatan PT. Kelompok Delapan Indonesia
427,14,Terdaftar Pkh Tapi Kartu Tidak Di Berikan Kepada Saya
428,27,Perbaikan jalan perumahan yang rusak parah di Perumahan Andi Caco Residence 2 Tamalakko
429,209,Masalah E-Ktp
430,68,Dana Bantuan Tidak Masuk Ke Rekening
431,27,Pembangunan Jembatan Sungai Kapuas Di Sungai Ayak
432,27,Pengajuan Bantuan/Subsidi Kenaikan Iuran Sampah Dampak Dari Perbub Sidoarjo No 116 Tahun 2022.
433,27,Lampu Penerangan Jalan Sudah Lama Mati
434,114,Buku Di Katalog Sering Tidak Ada Di Rak Buku
435,114,Jalan Rusak
436,114,Dikeluhkan Pemasangan Tiang di Komplek Belitung Permai Jalan Belitung Darat
437,247,Air Pdam Yg Tidak Layak Pakai
438,100,Pkl Depan Rumah
439,2,Pelayanan pasien
440,169,Pkl Kokrosono
441,124,Jalan Andong Ubud Yang Berlubang
442,-5803328010978180572,Penambangan Secara Ilegal
